vehicle_id,vehicle_localmips,total_tasks,total_task_mips,tasks_completed_local,local_failed,tasks_from_others,other_task_mips,others_completed,others_failed,total_execution_time,total_computation_time,simulation_time,trust_factor,z_score,other_total_comp_time
535,1002.953704,233,177281.8839,91,0,142,108119.8674,92,50,176.7597878,139.6869152,6000,3365.570855,8.396068404,70.72858117
538,2501.968559,536,395830.229,235,0,301,225346.6195,292,9,158.2075152,155.3291781,6000,8431.10521,0.793926798,87.18938921
541,3120.304535,810,607371.045,312,0,498,370439.18,494,4,194.6512073,193.7316078,6000,11687.97196,0.275961913,117.7993191
544,2637.975683,626,467494.6413,308,0,318,237690.2992,318,0,177.2171913,177.2171913,6000,9010.329425,0.481318894,90.10329425
547,1774.819362,535,404498.4162,249,0,286,217773.9573,211,75,227.9096255,195.2229324,6000,5732.865436,2.438214228,90.01534744
550,3185.499519,714,533291.0165,227,0,487,362408.0728,487,0,167.4120537,167.4120537,6000,11376.80513,0.217348786,113.7680513
553,1970.423445,739,547700.4262,148,0,591,440151.9167,502,89,277.9607742,244.0296348,6000,15551.70754,1.166804525,189.4482148
556,3246.739269,599,454653.6809,249,0,350,266273.5158,350,0,140.0339366,140.0339366,6000,8201.259594,0.23868391,82.01259594
559,2127.098653,500,371615.1671,90,0,410,302918.2523,375,35,174.7051866,162.465233,6000,11792.92151,1.266692718,130.1691687
562,1155.061068,374,281882.1047,74,0,300,223387.9806,196,104,244.0408672,177.7003363,6000,6071.82197,3.653095233,127.0587506
565,2197.907798,532,395799.586,310,0,222,163022.5104,222,0,180.0801591,180.0801591,6000,7417.167843,0.435217791,74.17167843
568,2527.343169,586,438465.367,232,0,354,267158.0439,354,0,173.488655,173.488655,6000,10570.70711,0.309714251,105.7070711
571,2828.30429,479,355169.0239,198,0,281,206935.7528,281,0,125.5766662,125.5766662,6000,7316.601453,0.312473864,73.16601453
574,1270.555675,405,304100.7015,101,0,304,228203.1847,220,84,239.3446485,189.7147082,6000,8034.908028,3.533645891,129.9790206
577,3017.290334,814,606911.0357,213,0,601,446496.2018,600,1,201.144394,200.8414146,6000,14737.32386,0.211830125,147.676218
580,3429.779593,1038,783084.8914,300,0,738,558453.0425,738,0,228.3193045,228.3193045,6000,16282.4761,0.157921106,162.824761
583,3332.991216,1143,856974.1796,232,0,911,681828.5923,911,0,257.1186433,257.1186433,6000,20456.95737,0.147906934,204.5695737
586,2699.005557,816,614556.4873,116,0,700,526100.6596,694,6,227.6973775,225.9217109,6000,19137.25558,0.28386047,193.1482224
589,1438.446893,354,264846.9579,114,0,240,178967.0486,143,97,184.1200806,135.6738492,6000,2752.439935,3.639150467,75.9706307
592,1537.036105,330,251544.7379,77,0,253,191259.1159,213,40,163.6557119,144.1171613,6000,8535.661608,2.854598686,104.8951666
595,1408.445804,450,339158.2914,140,0,310,234250.037,238,72,240.8032246,202.1074237,6000,8892.650299,3.612197966,127.6223039
598,2704.906619,620,469780.5633,105,0,515,390621.4535,469,46,173.6771835,160.805666,6000,11866.9142,0.601800913,131.5406595
601,3453.445866,924,699828.1416,213,0,711,535233.284,711,0,202.6463332,202.6463332,6000,15498.52828,0.16355216,154.9852828
